game_id,season,season_type,event_num,period,clock,elapsed_seconds,home_team,away_team,home_score,away_score,score_diff_home,event_type,description,winner_team,home_win
0022201230,2022-23,Regular Season,2,1,PT12M00.00S,0,POR,GSW,0,0,0,period,Start of 1st Period (3:41 PM EST),GSW,0
0022201230,2022-23,Regular Season,4,1,PT12M00.00S,0,POR,GSW,0,0,0,Jump Ball,Jump Ball Knox II vs. Looney: Tip to D. Green,GSW,0
0022201230,2022-23,Regular Season,8,1,PT11M40.00S,20,POR,GSW,0,3,-3,Made Shot,Thompson 25' 3PT Jump Shot (3 PTS) (Curry 1 AST),GSW,0
0022201230,2022-23,Regular Season,10,1,PT11M15.00S,45,POR,GSW,2,3,-1,Made Shot,Sharpe 20' Pullup Jump Shot (2 PTS) (Watford 1 AST),GSW,0
0022201230,2022-23,Regular Season,11,1,PT11M08.00S,52,POR,GSW,2,6,-4,Made Shot,Thompson 25' 3PT Jump Shot (6 PTS) (Curry 2 AST),GSW,0
0022201230,2022-23,Regular Season,96,1,PT10M50.00S,70,POR,GSW,2,6,-4,Missed Shot,MISS Watford 3' Driving Layup,GSW,0
0022201230,2022-23,Regular Season,97,1,PT10M50.00S,70,POR,GSW,2,6,-4,Rebound,Curry REBOUND (Off:0 Def:1),GSW,0
0022201230,2022-23,Regular Season,15,1,PT10M47.00S,73,POR,GSW,2,6,-4,Missed Shot,MISS Thompson 27' 3PT Running Jump Shot,GSW,0
0022201230,2022-23,Regular Season,16,1,PT10M44.00S,76,POR,GSW,2,6,-4,Rebound,Sharpe REBOUND (Off:0 Def:1),GSW,0
0022201230,2022-23,Regular Season,17,1,PT10M40.00S,80,POR,GSW,2,6,-4,Missed Shot,MISS Sharpe 30' 3PT Running Pull-Up Jump Shot,GSW,0
0022201230,2022-23,Regular Season,18,1,PT10M39.00S,81,POR,GSW,2,6,-4,Rebound,DiVincenzo REBOUND (Off:0 Def:1),GSW,0
0022201230,2022-23,Regular Season,19,1,PT10M35.00S,85,POR,GSW,2,8,-6,Made Shot,Thompson 1' Running Reverse Layup (8 PTS) (DiVincenzo 1 AST),GSW,0
0022201230,2022-23,Regular Season,21,1,PT10M24.00S,96,POR,GSW,2,8,-6,Missed Shot,MISS Mays 24' 3PT Pullup Jump Shot,GSW,0
0022201230,2022-23,Regular Season,22,1,PT10M22.00S,98,POR,GSW,2,8,-6,Rebound,Thompson REBOUND (Off:0 Def:1),GSW,0
0022201230,2022-23,Regular Season,23,1,PT10M19.00S,101,POR,GSW,2,8,-6,Foul,Knox II S.FOUL (P1.T1) (J.Williams),GSW,0
0022201230,2022-23,Regular Season,25,1,PT10M19.00S,101,POR,GSW,2,9,-7,Free Throw,DiVincenzo Free Throw 1 of 2 (1 PTS),GSW,0
0022201230,2022-23,Regular Season,26,1,PT10M19.00S,101,POR,GSW,2,10,-8,Free Throw,DiVincenzo Free Throw 2 of 2 (2 PTS),GSW,0
0022201230,2022-23,Regular Season,27,1,PT10M08.00S,112,POR,GSW,4,10,-6,Made Shot,Mays 1' Driving Layup (2 PTS),GSW,0
0022201230,2022-23,Regular Season,28,1,PT10M01.00S,119,POR,GSW,4,13,-9,Made Shot,Thompson 28' 3PT Jump Shot (11 PTS) (Looney 1 AST),GSW,0
0022201230,2022-23,Regular Season,30,1,PT09M48.00S,132,POR,GSW,4,13,-9,Missed Shot,MISS Williams 24' 3PT Jump Shot,GSW,0
0022201230,2022-23,Regular Season,31,1,PT09M48.00S,132,POR,GSW,4,13,-9,Rebound,DiVincenzo REBOUND (Off:0 Def:2),GSW,0
0022201230,2022-23,Regular Season,32,1,PT09M41.00S,139,POR,GSW,4,13,-9,Missed Shot,MISS Curry 31' 3PT Running Pull-Up Jump Shot,GSW,0
0022201230,2022-23,Regular Season,33,1,PT09M38.00S,142,POR,GSW,4,13,-9,Rebound,Watford REBOUND (Off:0 Def:1),GSW,0
0022201230,2022-23,Regular Season,35,1,PT09M35.00S,145,POR,GSW,4,13,-9,Foul,Looney S.FOUL (P1.T1) (J.Williams),GSW,0
0022201230,2022-23,Regular Season,37,1,PT09M35.00S,145,POR,GSW,5,13,-8,Free Throw,Watford Free Throw 1 of 2 (1 PTS),GSW,0
0022201230,2022-23,Regular Season,38,1,PT09M35.00S,145,POR,GSW,6,13,-7,Free Throw,Watford Free Throw 2 of 2 (2 PTS),GSW,0
0022201230,2022-23,Regular Season,39,1,PT09M25.00S,155,POR,GSW,6,16,-10,Made Shot,Thompson 27' 3PT Pullup Jump Shot (14 PTS) (Curry 3 AST),GSW,0
0022201230,2022-23,Regular Season,41,1,PT09M23.00S,157,POR,GSW,6,16,-10,Timeout,TRAIL BLAZERS Timeout: Regular (Full 1 Short 0),GSW,0
0022201230,2022-23,Regular Season,42,1,PT09M08.00S,172,POR,GSW,8,16,-8,Made Shot,Sharpe 9' Pullup Jump Shot (4 PTS),GSW,0
0022201230,2022-23,Regular Season,43,1,PT08M53.00S,187,POR,GSW,8,16,-8,Missed Shot,MISS D. Green 2' Alley Oop Layup,GSW,0
0022201230,2022-23,Regular Season,44,1,PT08M52.00S,188,POR,GSW,8,16,-8,Rebound,Sharpe REBOUND (Off:0 Def:2),GSW,0
